root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
*********** ITER=0 ***********  PID Kp=0 PID Ki=0.001 PID Kd=0 MeanE2=1.49007
mean_error_squared_best=1.49007 kp_best=0 ki_best=0.001 kd_best=0
*********** ITER=1 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=0 MeanE2=1.13211
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=2 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=0 MeanE2=1.29835
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=3 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=0 MeanE2=1.42427
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=4 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=0 MeanE2=1.42537
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=5 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=0 MeanE2=1.32232
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=6 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=0 MeanE2=1.21946
mean_error_squared_best=1.13211 kp_best=0.05 ki_best=0.001 kd_best=0
*********** ITER=7 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=0 MeanE2=1.1233
mean_error_squared_best=1.1233 kp_best=0.35 ki_best=0.001 kd_best=0
*********** ITER=8 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=0 MeanE2=0.98006
mean_error_squared_best=0.98006 kp_best=0.4 ki_best=0.001 kd_best=0
*********** ITER=9 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=0 MeanE2=0.975188
mean_error_squared_best=0.975188 kp_best=0.45 ki_best=0.001 kd_best=0
*********** ITER=10 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=0 MeanE2=0.891275
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=11 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=0 MeanE2=1.32886
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=12 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=0 MeanE2=1.26141
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=13 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=0 MeanE2=1.24513
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=14 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=0 MeanE2=1.27652
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=15 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=0 MeanE2=0.971231
mean_error_squared_best=0.891275 kp_best=0.5 ki_best=0.001 kd_best=0
*********** ITER=16 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=0 MeanE2=0.827833
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=17 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=0 MeanE2=0.878494
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=18 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=0 MeanE2=0.855579
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
*********** ITER=19 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=0 MeanE2=0.87549
mean_error_squared_best=0.827833 kp_best=0.8 ki_best=0.001 kd_best=0
