"Kp", "Kd", "sum(cte^2)/#steps"
0 ,0 ,1.49007
0.05 ,0 ,1.13211
0.1 ,0 ,1.29835
0.15 ,0 ,1.42427
0.2 ,0 ,1.42537
0.25 ,0 ,1.32232
0.3 ,0 ,1.21946
0.35 ,0 ,1.1233
0.4 ,0 ,0.98006
0.45 ,0 ,0.975188
0.5 ,0 ,0.891275
0.55 ,0 ,1.32886
0.6 ,0 ,1.26141
0.65 ,0 ,1.24513
0.7 ,0 ,1.27652
0.75 ,0 ,0.971231
0.8 ,0 ,0.827833
0.85 ,0 ,0.878494
0.9 ,0 ,0.855579
0.95 ,0 ,0.87549
0 ,0.25 ,1.51003
0.05 ,0.25 ,1.42344
0.1 ,0.25 ,1.37625
0.15 ,0.25 ,1.22455
0.2 ,0.25 ,1.28212
0.25 ,0.25 ,1.28094
0.3 ,0.25 ,1.2606
0.35 ,0.25 ,1.11539
0.4 ,0.25 ,1.1082
0.45 ,0.25 ,0.983634
0.5 ,0.25 ,0.927177
0.55 ,0.25 ,0.923798
0.6 ,0.25 ,0.92087
0.65 ,0.25 ,0.891708
0.7 ,0.25 ,0.934386
0.75 ,0.25 ,0.928972
0.8 ,0.25 ,1.08122
0.85 ,0.25 ,1.06019
0.9 ,0.25 ,1.21111
0.95 ,0.25 ,1.24257
0 ,0.5 ,1.51386
0.05 ,0.5 ,1.19924
0.1 ,0.5 ,0.799986
0.15 ,0.5 ,1.66835
0.2 ,0.5 ,1.47645
0.25 ,0.5 ,1.40352
0.3 ,0.5 ,1.0204
0.35 ,0.5 ,1.17942
0.4 ,0.5 ,1.16354
0.45 ,0.5 ,1.01806
0.5 ,0.5 ,0.877217
0.55 ,0.5 ,0.846569
0.6 ,0.5 ,0.863035
0.65 ,0.5 ,0.910589
0.7 ,0.5 ,1.14914
0.75 ,0.5 ,0.826347
0.8 ,0.5 ,0.806663
0.85 ,0.5 ,0.906011
0.9 ,0.5 ,0.943267
0.95 ,0.5 ,0.996711
0 ,0.75 ,1.96482
0.05 ,0.75 ,0.407802
